R_fighter,B_fighter,Referee,date
Bea Malecki,Duda Santana,Rich Mitchell,6/1/2019
Alexis Davis,Jennifer Maia,Herb Dean,3/23/2019
Alexander Hernandez,Olivier Aubin-Mercier,Marc Goddard,7/28/2018
Zak Cummings,Michel Prazeres,Leon Roberts,5/19/2018
Henry Briones,Frankie Saenz,Marc Goddard,5/19/2018
Shana Dobson,Lauren Mueller,Nic Jones,4/14/2018
Marc Diakiese,Teemu Packalen,Neil Hall,3/18/2017
Mairbek Taisumov,Damir Hadzovic,Kevin Sataki,4/10/2016
Davey Grant,Marlon Vera,Marc Goddard,2/27/2016
Norman Parke,Rustam Khabilov,Marc Goddard,2/27/2016
Anthony Pettis,Eddie Alvarez,Kevin MacDonald,1/17/2016
Max Holloway,Jeremy Stephens,Herb Dean,12/12/2015
Islam Makhachev,Leo Kuntz,Jason Herzog,5/23/2015
Tae Hyun Bang,Jon Tuck,Steve Perceval,5/16/2015
Rani Yahya,Johnny Bedford,Kerry Hatley,9/13/2014
Bubba McDaniel,Sean Strickland,Kerry Hatley,3/15/2014
Daniel Pineda,Rob Whiteford,Dan Tumage,3/15/2014
Al Iaquinta,Piotr Hallmann,Leon Roberts,10/26/2013
Urijah Faber,Iuri Alcantara,Yves Lavigne,8/17/2013
Brad Pickett,Michael McDonald,Kevin MacDonald,8/17/2013
Mike Ricci,Colin Fletcher,Marc Goddard,3/16/2013
Oli Thompson,Shawn Jordan,Steve Perceval,3/2/2012
