type,fscore,precision,recall,accuracy,meanwinnings,model,iteration,iterationnum,rows,cols,kfold_splits
A: Train,0.7669688801764273,0.6220190779014309,1.0,0.6220190779014309,0.0,Predict Red,A: Base Model,0,3355,159,10
B: Test,0.7787481804949054,0.6376638855780691,1.0,0.6376638855780691,0.0,Predict Red,A: Base Model,0,3355,159,10
C: Cross-Validation,0.7698055690480383,0.6259141791044777,1.0,0.6259141791044777,0.0,Predict Red,A: Base Model,0,3355,159,10
A: Train,0.7674931129476584,0.6745762711864407,0.8900958466453675,0.6645468998410174,0.0,Logistic Regression,A: Base Model,0,3355,159,10
B: Test,0.7473769168684422,0.6576704545454546,0.8654205607476636,0.6269368295589988,0.0,Logistic Regression,A: Base Model,0,3355,159,10
C: Cross-Validation,0.7401606533334457,0.6560529366610938,0.8499295506256603,0.6274191542288557,0.0,Logistic Regression,A: Base Model,0,3355,159,10
A: Train,0.7822248381400824,0.7250409165302782,0.8492012779552716,0.7058823529411765,0.0,ADA Booster,A: Base Model,0,3355,159,10
B: Test,0.7183958151700087,0.673202614379085,0.7700934579439253,0.6150178784266984,0.0,ADA Booster,A: Base Model,0,3355,159,10
C: Cross-Validation,0.7087340556536883,0.6562303610215425,0.7731929867282852,0.6041799928926794,0.0,ADA Booster,A: Base Model,0,3355,159,10
A: Train,0.8225080385852089,0.827831715210356,0.8172523961661342,0.78060413354531,0.0,Decision Tree,A: Base Model,0,3355,159,10
B: Test,0.6374269005847953,0.6659877800407332,0.611214953271028,0.5566150178784267,0.0,Decision Tree,A: Base Model,0,3355,159,10
C: Cross-Validation,0.6631516554763058,0.6529508230477138,0.6767057406542586,0.5710660980810234,0.0,Decision Tree,A: Base Model,0,3355,159,10
A: Train,0.7669688801764273,0.6220190779014309,1.0,0.6220190779014309,0.0,Random Forest,A: Base Model,0,3355,159,10
B: Test,0.7787481804949054,0.6376638855780691,1.0,0.6376638855780691,0.0,Random Forest,A: Base Model,0,3355,159,10
C: Cross-Validation,0.7696887424483039,0.6259372778962332,1.0,0.6259372778962332,0.0,Random Forest,A: Base Model,0,3355,159,10
A: Train,0.7687038988408851,0.653966831017481,0.9322683706070287,0.651033386327504,0.0,SVC,A: Base Model,0,3355,159,10
B: Test,0.754803996925442,0.6409921671018277,0.9177570093457944,0.6197854588796186,0.0,SVC,A: Base Model,0,3355,159,10
C: Cross-Validation,0.7501256822372973,0.6340661134772543,0.9211129349327623,0.6163743781094528,0.0,SVC,A: Base Model,0,3355,159,10
A: Train,0.8100256337225863,0.7307297019527236,0.9086261980830671,0.7348966613672496,0.0,Voting Classifier,A: Base Model,0,3355,159,10
B: Test,0.7414225941422595,0.6712121212121213,0.8280373831775701,0.6317044100119189,0.0,Voting Classifier,A: Base Model,0,3355,159,10
C: Cross-Validation,0.7340069393252874,0.6549522279024333,0.8355488325392804,0.6214596659559346,0.0,Voting Classifier,A: Base Model,0,3355,159,10
A: Train,0.8037246667883878,0.6718559218559218,1.0,0.6718559218559218,0.0,Predict Red,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
B: Test,0.7993402968664102,0.6657509157509157,1.0,0.6657509157509157,0.0,Predict Red,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
C: Cross-Validation,0.8025040260890991,0.6703236201792875,1.0,0.6703236201792875,0.0,Predict Red,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
A: Train,0.8044382801664355,0.7132817990161631,0.9223080417991822,0.6987179487179487,0.0,Logistic Regression,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
B: Test,0.7801672640382318,0.689545934530095,0.8982118294360385,0.663003663003663,0.0,Logistic Regression,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
C: Cross-Validation,0.7827464679257431,0.6953277840295871,0.895938228350151,0.6673493166502216,0.0,Logistic Regression,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
A: Train,0.8080514629591202,0.7436974789915967,0.8845979100408905,0.7176434676434676,0.0,ADA Booster,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
B: Test,0.7679900744416874,0.6994350282485876,0.8514442916093535,0.6575091575091575,0.0,ADA Booster,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
C: Cross-Validation,0.7670041234140836,0.7063309084441363,0.8393370314850059,0.6586557638611887,0.0,ADA Booster,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
A: Train,0.8419142662735315,0.8405797101449275,0.8432530667878237,0.7872405372405372,0.0,Decision Tree,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
B: Test,0.6991869918699187,0.6889185580774366,0.7097661623108665,0.5934065934065934,0.0,Decision Tree,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
C: Cross-Validation,0.7239643081211499,0.6994157856050393,0.7512779118421161,0.6165368547015724,0.0,Decision Tree,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
A: Train,0.8037246667883878,0.6718559218559218,1.0,0.6718559218559218,0.0,Random Forest,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
B: Test,0.7993402968664102,0.6657509157509157,1.0,0.6657509157509157,0.0,Random Forest,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
C: Cross-Validation,0.8024563984696697,0.6703335922574686,1.0,0.6703335922574686,0.0,Random Forest,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
A: Train,0.8017241379310345,0.6822966507177034,0.971830985915493,0.6770451770451771,0.0,SVC,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
B: Test,0.7893544733861834,0.670837343599615,0.9587345254470426,0.6593406593406593,0.0,SVC,"B: Fill NAs by KMeans, Weight Class",1,4368,160,10
